429958,429959,914
429957,429958,224
429956,429957,109
429955,429956,458
429954,429955,216
429953,429954,222
429952,429953,271
429951,429952,316
429950,429951,313
429949,429950,147
429948,429949,752
429947,429948,238
429946,429947,327
429945,429946,1864
429944,429945,31
429943,429944,191
429942,429943,12
429941,429942,156
429940,429941,474
429939,429940,52
429938,429939,1321
429937,429938,664
429936,429937,2510
429935,429936,320
429934,429935,1406
429933,429934,1350
429932,429933,134
429931,429932,1303
429930,429931,83
429929,429930,842
429928,429929,2345
429927,429928,318
429926,429927,876
429925,429926,490
429924,429925,546
429923,429924,49
429922,429923,1192
429921,429922,515
429920,429921,212
429919,429920,79
429918,429919,90
429917,429918,431
429916,429917,437
429915,429916,3
429914,429915,374
429913,429914,337
429912,429913,177
429911,429912,150
429910,429911,23
429909,429910,282
429908,429909,827
429907,429908,437
429906,429907,1833
429905,429906,1458
429904,429905,462
429903,429904,631
429902,429903,739
429901,429902,348
429900,429901,358
429899,429900,803
429898,429899,873
429897,429898,2919
429896,429897,41
429895,429896,1550
429894,429895,29
429893,429894,533
429892,429893,215
429891,429892,922
429890,429891,226
429889,429890,760
429888,429889,320
429887,429888,588
429886,429887,1566
429885,429886,536
429884,429885,535
429883,429884,40
429882,429883,2751
429881,429882,1453
429880,429881,861
429879,429880,288
429878,429879,68
429877,429878,246
429876,429877,682
429875,429876,91
429874,429875,67
429873,429874,216
429872,429873,153
429871,429872,560
429870,429871,467
429869,429870,699
429868,429869,186
429867,429868,495
429866,429867,574
429865,429866,265
429864,429865,2005
429863,429864,441
429862,429863,317
429861,429862,772
429860,429861,505
429859,429860,443
429858,429859,775
429857,429858,953
429856,429857,190
429855,429856,318
429854,429855,637
429853,429854,681
429852,429853,136
429851,429852,386
429850,429851,417
429849,429850,217
429848,429849,78
429847,429848,367
429846,429847,244
429845,429846,1285
429844,429845,302
429843,429844,256
429842,429843,436
429841,429842,398
429840,429841,530
429839,429840,795
429838,429839,318
429837,429838,183
429836,429837,317
429835,429836,378
429834,429835,1468
429833,429834,22
429832,429833,1366
429831,429832,308
429830,429831,288
429829,429830,789
429828,429829,1477
429827,429828,555
429826,429827,445
429825,429826,482
429824,429825,43
429823,429824,1062
429822,429823,721
429821,429822,839
429820,429821,72
429819,429820,30
429818,429819,318
429817,429818,998
429816,429817,430
429815,429816,888
429814,429815,1478
429813,429814,456
429812,429813,555
429811,429812,198
429810,429811,382
429809,429810,217
429808,429809,58
429807,429808,173
429806,429807,35
